"","mean","sd","model","type","conc"
"9",2.19503509897079e-07,1.32157154412809e-07,"Hamilton","Water Efficient",1
"10",2.16142423984278e-06,1.33739837515407e-06,"Hamilton","Water Efficient",10
"11",2.10836443677689e-05,1.20009757651143e-05,"Hamilton","Water Efficient",100
"12",0.000216414219799972,0.000121108581861357,"Hamilton","Water Efficient",1000
"13",0.00218315824215149,0.00137718510323574,"Hamilton","Water Efficient",10000
"14",0.020844160182942,0.0119317361147533,"Hamilton","Water Efficient",1e+05
"15",0.190165606734562,0.0923846510235858,"Hamilton","Water Efficient",1e+06
"16",0.820115103057367,0.144567854700302,"Hamilton","Water Efficient",1e+07
"17",1.14968115088154e-06,7.22808499698435e-07,"Hamilton","Conventional",1
"18",1.12592135378181e-05,7.0375459694783e-06,"Hamilton","Conventional",10
"19",0.000110533313756453,6.37101079642246e-05,"Hamilton","Conventional",100
"20",0.00112293940807989,0.000650015944297872,"Hamilton","Conventional",1000
"21",0.0113731190555613,0.00725921327267952,"Hamilton","Conventional",10000
"22",0.103090616608498,0.0562156705687407,"Hamilton","Conventional",1e+05
"23",0.626578904996459,0.178081535960888,"Hamilton","Conventional",1e+06
"24",0.995703139973742,0.0189803205127571,"Hamilton","Conventional",1e+07
