"","mean","sd","model","type","conc"
"9",2.17683830717519e-07,1.22687365625922e-07,"Hamilton","Water Efficient",1
"10",2.17795672600962e-06,1.25787342553159e-06,"Hamilton","Water Efficient",10
"11",2.12288152361856e-05,1.30012640660702e-05,"Hamilton","Water Efficient",100
"12",0.000216714682121189,0.00012883376165438,"Hamilton","Water Efficient",1000
"13",0.00212531642472072,0.00116173546158452,"Hamilton","Water Efficient",10000
"14",0.0214331990099771,0.0118140540774188,"Hamilton","Water Efficient",1e+05
"15",0.190316219918378,0.0961137784189158,"Hamilton","Water Efficient",1e+06
"16",0.819904695176348,0.145044801279862,"Hamilton","Water Efficient",1e+07
"17",1.14592176841855e-06,6.74699719021185e-07,"Hamilton","Conventional",1
"18",1.15352490088531e-05,7.03860201360649e-06,"Hamilton","Conventional",10
"19",0.00011091566932336,7.01903005124285e-05,"Hamilton","Conventional",100
"20",0.00115018642244423,0.000712520402021101,"Hamilton","Conventional",1000
"21",0.0111220348024651,0.00632978100137122,"Hamilton","Conventional",10000
"22",0.105653022212988,0.0561259293253368,"Hamilton","Conventional",1e+05
"23",0.623273516504145,0.186046181629642,"Hamilton","Conventional",1e+06
"24",0.995484416536689,0.0183928601306857,"Hamilton","Conventional",1e+07
